"time__raw","series__raw"
"1977-01",1487588
"1977-02",1237719
"1977-03",1450395
"1977-04",1609159
"1977-05",1724392
"1977-06",1906396
"1977-07",2373334
"1977-08",2372987
"1977-09",2010979
"1977-10",1806198
"1977-11",1454126
"1977-12",1647415
"1978-01",1610669
"1978-02",1354608
"1978-03",1754176
"1978-04",1733544
"1978-05",1942570
"1978-06",2198429
"1978-07",2718260
"1978-08",2710884
"1978-09",2241586
"1978-10",1929316
"1978-11",1614560
"1978-12",1781091
"1979-01",1774076
"1979-02",1561256
"1979-03",1900097
"1979-04",2067610
"1979-05",2111298
"1979-06",2523993
"1979-07",2943282
"1979-08",3104669
"1979-09",2444994
"1979-10",2166730
"1979-11",1747559
"1979-12",1826169
"1980-01",1782353
"1980-02",1625842
"1980-03",1925574
"1980-04",1915541
"1980-05",2076528
"1980-06",2530712
"1980-07",2890151
"1980-08",3101750
"1980-09",2284811
"1980-10",2072839
"1980-11",1772565
"1980-12",2014192
"1981-01",1953167
"1981-02",1633905
"1981-03",1870412
"1981-04",2072486
"1981-05",2219113
"1981-06",2408134
"1981-07",2767347
"1981-08",2770687
"1981-09",2276942
"1981-10",2108528
"1981-11",1775732
"1981-12",1885940
"1982-01",1881405
"1982-02",1671732
"1982-03",1945402
"1982-04",2119827
"1982-05",2217477
"1982-06",2506696
"1982-07",2933162
"1982-08",2959380
"1982-09",2324646
"1982-10",2106557
"1982-11",1739354
"1982-12",1936329
"1983-01",2084139
"1983-02",1695926
"1983-03",2110844
"1983-04",2072557
"1983-05",2260183
"1983-06",2625551
"1983-07",3045987
"1983-08",3062160
"1983-09",2487794
"1983-10",2294018
"1983-11",1847896
"1983-12",1952973
"1984-01",1941779
"1984-02",1766849
"1984-03",2154037
"1984-04",2295627
"1984-05",2560742
"1984-06",2834238
"1984-07",3150703
"1984-08",3245530
"1984-09",2739615
"1984-10",2372463
"1984-11",2044930
"1984-12",2107732
"1985-01",2207086
"1985-02",1902787
"1985-03",2207788
"1985-04",2276810
"1985-05",2529317
"1985-06",2821543
"1985-07",3038012
"1985-08",3098434
"1985-09",2343303
"1985-10",2131151
"1985-11",1823366
"1985-12",2065594
"1986-01",2029305
"1986-02",1744403
"1986-03",2196312
"1986-04",2072426
"1986-05",2058952
"1986-06",2373194
