"","H","period","YEAR","QUARTER","ID","INDUSTRY","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","nbin_tot","openL","openR","n.b.mode","prob.mode","mode","mean","var","median"
"3852",1,0,1992,1,20,2,0,0,0,0,0,0.5,0.5,0,0,0,NA,0.2,0,0,2,0.5,1,1,0.333333333333333,1
"3853",1,0,1992,1,30,3,0,0,0.1,0.6,0.3,0,0,0,0,0,NA,0.3,0,0,1,0.6,3.5,3.3,0.443333333333332,3.33333333333333
"3854",1,0,1992,1,35,2,0,0,0.1,0.1,0.2,0.5,0.1,0,0,0,NA,0.5,0,0,1,0.5,1.5,2.1,1.32333333333334,1.8
"3856",1,0,1992,1,60,2,0,0,0,0,0.05,0.6,0.3,0.05,0,0,NA,0.4,0,0,1,0.6,1.5,1.15,0.510833333333334,1.25
"3857",1,0,1992,1,62,2,0,0,0,0.05,0.2,0.5,0.2,0.05,0,0,NA,0.5,0,0,1,0.5,1.5,1.5,0.883333333333332,1.5
"3858",1,0,1992,1,65,1,0,0,0,0,0.1,0.8,0.1,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.5,0.283333333333332,1.5
"3859",1,0,1992,1,84,1,0,0,0,0.03,0.12,0.4,0.18,0.15,0.08,0.04,NA,0.7,0,1,1,0.4,1.5,0.76,2.3024,1.125
"3860",1,0,1992,1,94,1,0,0,0,0.15,0.3,0.4,0.05,0.05,0.05,0,NA,0.6,0,0,1,0.4,1.5,1.8,1.59333333333333,1.875
"3861",1,0,1992,1,99,1,0,0,0.05,0.15,0.65,0.1,0.05,0,0,0,NA,0.5,0,0,1,0.65,2.5,2.55,0.730833333333333,2.53846153846154
"3862",1,0,1992,1,404,2,0,0,0,0,0.3,0.5,0.2,0,0,0,NA,0.3,0,0,1,0.5,1.5,1.6,0.573333333333333,1.6
"3863",1,0,1992,1,405,1,0,0,0,0.05,0.3,0.4,0.2,0.05,0,0,NA,0.5,0,0,1,0.4,1.5,1.6,0.973333333333333,1.625
"3864",1,0,1992,1,406,1,0,0,0,0.05,0.6,0.35,0,0,0,0,NA,0.3,0,0,1,0.6,2.5,2.2,0.393333333333332,2.25
"3865",1,0,1992,1,407,1,0,0,0,0.05,0.15,0.65,0.15,0,0,0,NA,0.4,0,0,1,0.65,1.5,1.6,0.573333333333333,1.53846153846154
"3866",1,0,1992,1,408,1,0,0,0.05,0.2,0.6,0.1,0.05,0,0,0,NA,0.5,0,0,1,0.6,2.5,2.6,0.773333333333335,2.58333333333333
"3867",1,0,1992,1,409,1,0,0,0,0,0.15,0.75,0.1,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.55,0.330833333333333,1.53333333333333
"3868",1,0,1992,1,410,2,0,0.05,0.15,0.2,0.25,0.35,0,0,0,0,NA,0.5,0,0,1,0.35,1.5,2.8,1.59333333333333,2.6
"3869",1,0,1992,1,411,2,0,0.01,0.02,0.03,0.2,0.5,0.2,0.03,0.01,0,NA,0.8,0,0,1,0.5,1.5,1.57,1.14843333333333,1.52
"3870",1,0,1992,1,414,1,0,0,0,0.05,0.35,0.5,0.1,0,0,0,NA,0.4,0,0,1,0.5,1.5,1.85,0.610833333333333,1.8
"3871",1,0,1992,1,416,2,0,0,0,0,0.1,0.6,0.2,0.1,0,0,NA,0.4,0,0,1,0.6,1.5,1.2,0.693333333333333,1.33333333333333
"3872",1,0,1992,1,418,1,0,0,0,0,0.05,0.75,0.2,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.35,0.310833333333333,1.4
"3873",1,0,1992,1,420,1,0.05,0.05,0.05,0.05,0.2,0.4,0.1,0.05,0.05,0,NA,0.9,1,0,1,0.4,1.5,2.05,3.43083333333333,1.75
"3874",1,0,1992,1,421,1,0,0,0,0.05,0.2,0.5,0.2,0.05,0,0,NA,0.5,0,0,1,0.5,1.5,1.5,0.883333333333332,1.5
"3875",1,0,1992,1,422,1,0,0,0.05,0.45,0.3,0.16,0.03,0.01,0,0,NA,0.6,0,0,1,0.45,3.5,2.8,1.01333333333333,3
"3877",1,0,1992,1,424,1,0,0,0,0,0.15,0.2,0.65,0,0,0,NA,0.3,0,0,1,0.65,0.5,1,0.633333333333333,0.769230769230769
"3878",1,0,1992,1,426,1,0,0,0,0.1,0.15,0.55,0.1,0.05,0.05,0,NA,0.6,0,0,1,0.55,1.5,1.5,1.38333333333333,1.54545454545455
