"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"1","satisfied","Loyal Customer",39,"Business travel","Business",336,2,2,2,2,3,4,5,5,5,4,5,3,5,5,0,0
"2","dissatisfied","Loyal Customer",17,"Business travel","Eco",1913,3,3,3,3,3,3,2,3,2,4,3,3,3,3,0,0
"3","satisfied","Loyal Customer",44,"Business travel","Business",1779,5,5,5,5,4,3,4,5,5,5,5,3,5,3,23,2
"4","dissatisfied","disloyal Customer",24,"Business travel","Eco",1694,3,4,4,3,3,4,5,3,3,3,3,3,3,3,54,35
"5","dissatisfied","disloyal Customer",62,"Business travel","Eco",2646,3,3,3,2,3,3,3,3,2,1,2,2,3,3,4,0
"6","dissatisfied","Loyal Customer",60,"Personal Travel","Business",2376,2,5,2,2,4,4,4,1,1,2,1,5,1,5,8,28
"7","satisfied","Loyal Customer",51,"Business travel","Business",1207,2,2,2,2,2,4,5,5,5,5,5,3,5,5,0,0
"8","dissatisfied","disloyal Customer",29,"Business travel","Eco",1563,1,0,1,1,2,1,2,2,4,4,5,5,4,2,11,1
"9","satisfied","Loyal Customer",38,"Business travel","Business",2561,4,4,4,4,5,5,4,5,5,5,5,3,5,5,0,21
"10","dissatisfied","Loyal Customer",58,"Personal Travel","Eco",1648,3,5,3,4,4,3,5,3,3,3,4,3,3,3,0,6
"11","dissatisfied","Loyal Customer",15,"Personal Travel","Eco",1093,2,4,5,4,3,5,3,3,5,5,5,5,4,3,0,0
"12","satisfied","Loyal Customer",51,"Business travel","Business",80,5,5,5,5,1,2,5,5,5,5,5,1,5,5,0,0
"13","dissatisfied","Loyal Customer",59,"Personal Travel","Eco",325,4,5,4,1,3,5,5,1,1,4,4,3,1,5,42,26
"14","dissatisfied","Loyal Customer",67,"Personal Travel","Eco",1963,2,5,2,4,4,2,4,4,3,4,5,5,4,4,0,0
"15","dissatisfied","Loyal Customer",36,"Business travel","Eco",1330,1,2,4,4,1,1,1,1,2,3,4,2,4,1,26,28
"16","satisfied","Loyal Customer",60,"Business travel","Eco Plus",1099,3,2,2,2,3,3,3,3,2,3,4,2,2,3,0,0
"17","satisfied","disloyal Customer",20,"Personal Travel","Eco",2093,4,4,4,4,1,4,1,1,4,3,4,2,3,1,0,0
"18","satisfied","Loyal Customer",17,"Business travel","Business",2773,4,4,3,4,4,4,4,4,3,1,2,2,1,4,5,2
"19","dissatisfied","Loyal Customer",36,"Business travel","Eco",1492,2,4,4,4,2,3,2,2,1,2,4,1,3,2,30,27
"20","dissatisfied","Loyal Customer",33,"Business travel","Business",2999,2,3,3,3,2,2,2,2,1,2,4,3,4,2,3,19
"21","dissatisfied","Loyal Customer",39,"Business travel","Business",3566,2,3,3,3,2,2,2,2,2,2,2,2,2,2,0,0
"22","satisfied","Loyal Customer",40,"Business travel","Business",3832,0,5,0,4,5,3,2,2,2,2,2,2,2,5,0,0
"23","satisfied","Loyal Customer",13,"Business travel","Business",5130,2,2,2,2,5,5,5,5,5,2,1,4,1,5,115,128
"24","dissatisfied","Loyal Customer",24,"Business travel","Business",4199,2,4,4,4,2,2,2,2,1,3,2,2,2,2,29,10
"25","dissatisfied","Loyal Customer",49,"Personal Travel","Eco",1496,3,5,3,1,1,3,2,1,4,3,4,4,5,1,0,0
"26","dissatisfied","Loyal Customer",41,"Business travel","Business",3472,4,5,5,5,2,3,4,4,4,4,4,3,4,3,20,21
"27","dissatisfied","Loyal Customer",36,"Business travel","Business",3403,1,2,5,2,4,3,4,1,1,1,1,1,1,2,0,0
"28","dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2426,3,5,3,3,3,3,4,3,4,3,5,5,4,3,41,36
"29","satisfied","Loyal Customer",45,"Business travel","Business",963,4,4,4,4,3,5,5,4,4,4,4,3,4,3,48,60
"30","dissatisfied","disloyal Customer",38,"Business travel","Eco Plus",1190,4,4,4,2,2,4,2,2,1,1,2,3,1,2,0,0
"31","satisfied","Loyal Customer",57,"Personal Travel","Eco",740,2,2,2,2,4,4,4,4,4,4,4,4,4,4,19,7
"32","satisfied","Loyal Customer",49,"Business travel","Business",78,5,5,4,5,4,4,5,4,4,4,4,4,4,5,6,0
"33","satisfied","disloyal Customer",38,"Business travel","Business",1460,4,4,4,2,4,4,4,4,3,3,4,3,4,4,0,0
"34","satisfied","Loyal Customer",10,"Personal Travel","Eco",1458,2,1,2,2,3,1,1,4,4,4,4,4,4,5,0,0
"35","dissatisfied","disloyal Customer",36,"Business travel","Eco",1427,4,1,4,3,1,4,1,1,3,5,2,3,2,1,0,0
"36","satisfied","Loyal Customer",46,"Business travel","Business",1218,1,1,1,1,5,4,4,4,4,4,4,5,4,5,0,0
"37","dissatisfied","disloyal Customer",39,"Business travel","Business",1824,4,3,3,3,3,3,3,3,3,2,5,4,5,3,3,0
"38","satisfied","Loyal Customer",52,"Business travel","Business",450,4,4,4,4,4,4,5,4,4,4,4,4,4,4,6,3
"39","dissatisfied","Loyal Customer",30,"Business travel","Eco",1842,3,3,5,5,3,2,3,3,3,2,4,3,4,3,6,0
"40","dissatisfied","Loyal Customer",38,"Personal Travel","Eco",2255,3,4,3,3,4,3,1,4,4,5,5,3,5,4,0,0
"41","dissatisfied","Loyal Customer",48,"Personal Travel","Eco",1922,3,4,3,4,3,3,3,3,3,1,4,4,3,3,42,37
"42","satisfied","Loyal Customer",28,"Personal Travel","Eco",2396,4,2,5,4,5,2,2,1,1,4,4,2,2,2,0,0
