DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
1990-02-01;0.91947;-3.06131;-4.67742;-6.76798;0.23749;-11.92666;0.84811;0.49058;0.00000;-0.36253;0.22255;-0.43516
1990-03-01;0.47580;2.30495;-2.87648;-7.19826;5.57117;0.85637;0.15291;5.22675;-9.75610;-13.75751;0.18733;-0.17483
1990-04-01;-0.23533;-0.56510;-5.57491;-9.65433;1.64616;-1.41516;-0.15267;3.35950;-2.70270;6.68532;0.03101;-0.08757
1990-05-01;0.30100;3.04325;-1.47601;-1.56412;-2.08932;-1.81360;0.22936;-2.78589;-5.55556;-15.44501;0.14863;0.43821
1990-06-01;0.33047;3.02253;2.05993;-7.62898;3.94766;0.90572;0.76278;-0.22615;11.76471;-7.04700;0.02094;-0.26178
1990-07-01;-0.16636;-0.32494;-0.55046;13.66674;2.71675;-0.48060;0.52990;-3.02949;-10.52632;9.33564;-0.03186;0.17498
1990-08-01;0.36137;-8.61755;-2.58303;58.23430;5.79459;-1.57659;0.30120;-1.05922;35.29412;53.18565;-0.19304;1.74672
1990-09-01;0.03165;-4.91487;-6.06061;28.45915;1.61215;3.16762;0.30030;-6.11711;2.17391;3.30841;-0.08211;1.63090
1990-10-01;-0.62007;-3.75806;-6.25000;3.21960;-2.22338;-3.83970;0.37425;-6.39236;2.12766;1.78059;-0.13331;2.02703
1990-11-01;-1.24612;2.52012;6.02151;-8.20411;-1.99013;-4.47305;0.29828;-0.28969;-2.08333;-15.99944;-0.14080;-0.57947
1990-12-01;-0.70180;4.68490;-5.88235;-14.49703;-0.56336;-1.34003;0.07435;3.61683;0.00000;-6.11883;-0.04761;-1.16570
1991-01-01;-0.32760;-0.66449;-13.57759;-16.64858;2.90560;-8.71276;0.29718;-0.14223;-17.02128;17.40398;-0.10717;0.25274
1991-02-01;-0.72169;12.03185;20.19950;-17.10219;0.80939;4.90320;0.07407;-2.36561;-12.82051;-21.25725;-0.29344;-1.51261
1991-03-01;-0.56931;3.29672;5.18672;-2.32136;-6.61976;3.53775;0.14804;5.24827;-2.94118;-17.84487;-0.14899;-0.85324
1991-04-01;0.26349;2.56051;0.19724;0.51094;-3.61918;-6.30448;0.59128;-0.19939;-3.03030;-2.09355;-0.19987;-0.17212
1991-05-01;0.99445;-0.59083;1.77165;0.03555;-1.01806;3.72986;0.36738;0.80889;-3.12500;-2.53532;-0.09414;0.43103
